,region,housing_type,consumption
0,Outram,Public Housing,387.1136842105261
1,Outram,5-room and Executive,410.40119047619055
2,Outram,Landed Properties,-1578.7726315789332
3,Outram,3-room,159.5828571428574
4,Outram,Private Housing,227.8431578947384
5,Outram,1-room / 2-room,210.07368421052615
6,Outram,Overall,282.2568421052629
7,Outram,Private Apartments and Condominiums,297.2284210526341
8,Outram,4-room,422.28666666666686
9,Yishun,Public Housing,334.121052631579
10,Yishun,5-room and Executive,426.0797619047621
11,Yishun,Landed Properties,1042.5189473684209
12,Yishun,3-room,324.5504761904758
13,Yishun,Private Housing,-56.35894736841874
14,Yishun,1-room / 2-room,226.7189473684207
15,Yishun,Overall,340.79894736842107
16,Yishun,Private Apartments and Condominiums,-33.5526315789466
17,Yishun,4-room,448.3742857142861
18,Tampines,Public Housing,315.75473684210556
19,Tampines,5-room and Executive,298.875
20,Tampines,Landed Properties,928.2294736842105
21,Tampines,3-room,269.8819047619048
22,Tampines,Private Housing,176.02947368421155
23,Tampines,1-room / 2-room,258.0663157894742
24,Tampines,Overall,314.47157894736847
25,Tampines,Private Apartments and Condominiums,161.35894736841874
26,Tampines,4-room,307.3228571428572
27,Southern Islands,Public Housing,-1.0
28,Southern Islands,5-room and Executive,-1.0
29,Southern Islands,Landed Properties,-1.0
30,Southern Islands,3-room,-1.0
31,Southern Islands,Private Housing,-1.0
32,Southern Islands,1-room / 2-room,-1.0
33,Southern Islands,Overall,-1.0
34,Southern Islands,Private Apartments and Condominiums,2856.5489508083847
35,Southern Islands,4-room,-1.0
36,Choa Chu Kang,Public Housing,353.1105263157897
37,Choa Chu Kang,5-room and Executive,465.4749999999999
38,Choa Chu Kang,Landed Properties,665.3378947368401
39,Choa Chu Kang,3-room,282.9371428571428
40,Choa Chu Kang,Private Housing,269.2431578947362
41,Choa Chu Kang,1-room / 2-room,272.2505263157891
42,Choa Chu Kang,Overall,355.88526315789477
43,Choa Chu Kang,Private Apartments and Condominiums,305.88526315789386
44,Choa Chu Kang,4-room,429.0476190476188
45,Jurong East,Public Housing,315.48736842105245
46,Jurong East,5-room and Executive,351.21071428571304
47,Jurong East,Landed Properties,-1.0
48,Jurong East,3-room,288.25714285714275
49,Jurong East,Private Housing,301.40315789473607
50,Jurong East,1-room / 2-room,269.21999999999935
51,Jurong East,Overall,321.88105263157877
52,Jurong East,Private Apartments and Condominiums,301.40315789473607
53,Jurong East,4-room,365.9552380952378
54,Sungei Kadut,Public Housing,-1.0
55,Sungei Kadut,5-room and Executive,-1.0
56,Sungei Kadut,Landed Properties,1499.6757894736838
57,Sungei Kadut,3-room,-1.0
58,Sungei Kadut,Private Housing,1515.42105263158
